,branch,loss,current
0,"(2, 1)",(0.4514461059700231-71.47377496954519j),2.4033201540233446
1,"(39, 1)",(0.17327780589205533-76.6022955725448j),3.1946055155650166
2,"(3, 2)",(1.704503791725916-8.005818953627072j),1.3417306649713674
3,"(25, 2)",(3.9849218711457266-11.30042622298362j),1.8978912252928128
4,"(4, 3)",(0.2592546931879417-18.66044651030851j),1.7073708221598023
5,"(18, 3)",(0.012229142428505204-22.57199571233852j),2.374424715392527
6,"(5, 4)",(0.21091151412584797-10.164142686488194j),1.6255233599818835
7,"(14, 4)",(0.5591482862501672-5.019536500926853j),1.1412966160563136
8,"(6, 5)",(0.46304135681845027+1.6256179379545888j),1.4699117510460031
9,"(8, 5)",(0.834253492749157-3.091771204639035j),0.9750166588451828
10,"(7, 6)",(1.1283515165061653+5.955116867124075j),1.4803328051635343
11,"(11, 6)",(0.8206572534745875-4.55439558799967j),1.3690795410967962
12,"(8, 7)",(0.14699810061676435-6.050538327923842j),2.090276063518605
13,"(9, 8)",(0.1838104204004318-36.06039332647646j),1.8178962912388454
14,"(39, 9)",(0.002469614565424094-127.01067453938819j),4.113541666117709
15,"(11, 10)",(0.48869260114601026-2.253633751596272j),1.3341366864082558
16,"(13, 10)",(0.36103423976994575-3.6382412272048006j),1.6798841325783067
17,"(14, 13)",(0.7672301758321646-9.069557669865425j),1.7297654877100392
18,"(15, 14)",(0.026803439254058675-37.291042494502314j),2.389281564195382
19,"(16, 15)",(0.9093271715656638-8.435074196713614j),1.7305479937341723
20,"(17, 16)",(0.28707191502026286-10.673319874720887j),1.9966551807740232
21,"(19, 16)",(3.080883832606776+4.593656744828809j),0.9707355684269497
22,"(21, 16)",(0.8213716758070376-13.285431705795842j),1.811314781621394
23,"(24, 16)",(0.02996680074921394-6.695053412699152j),1.9436238255209304
24,"(18, 17)",(0.24461339219649642-11.199235606097115j),2.1300513802438994
25,"(27, 17)",(0.009754364924977468-34.3842732571004j),2.5703063945891844
26,"(22, 21)",(2.784704602872344+20.931878470300724j),2.2404245123103443
27,"(23, 22)",(0.02472858624922923-19.858877688248363j),2.6233605626998804
28,"(24, 23)",(2.5300833854762206+1.1027311106615896j),0.5121863775468398
29,"(26, 25)",(0.1712803907924005-55.352118971070105j),2.3842171688810407
30,"(27, 26)",(0.9937147044845367-15.734715667292761j),1.8865224607998987
31,"(28, 26)",(0.7883769274468291-77.51673498293368j),2.3300717999055336
32,"(29, 26)",(1.9137596607691063-92.69301690799377j),2.2190639820939055
33,"(29, 28)",(1.5563534488787087-10.66938228453089j),1.5394913235898617
34,"(12, 11)",(0.028884616227991298+0.7853005036985133j),0.24530854817620032
35,"(12, 13)",(0.034644810067352996+0.9419057737061596j),0.26865719353912476
36,"(6, 31)",92.98348545414471j,3.5210507040587515
37,"(10, 32)",96.18874759386568j,4.003930310621171
38,"(19, 33)",(2.8952268863273805+58.73174540835539j),3.7130573247388785
39,"(20, 34)",(2.511375454613013+50.22750909226033j),3.049818121239495
40,"(22, 35)",60.662030681215306j,3.760363478724468
41,"(23, 36)",(1.4309392049945608+77.84309275170412j),3.0886234312333607
42,"(25, 37)",(1.6562357986659226+64.04111754841567j),3.0333661158172878
43,"(2, 30)",13.77416680109068j,1.5926955041354611
44,"(29, 38)",(5.234218097843758+102.06725290795329j),4.670036624519019
45,"(19, 20)",(0.218437385110568+4.306337020751197j),1.0198911825954953
